distance,stellar_magnitude,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,planet_type
980,13.146,0.569,1,1.135,1,0.0466,0.010130048,0.02,0
650,12.052,0.62,1,1.02,1,0.04,0.008213553,0,0
1309,13.098,0.626,1,1.212,1,0.0434,0.009034907,0.05,0
1023,11.825,0.88,1,1.17,1,0.0667,0.015605749,0.09,0
417,8.72,8.7,1,0.951,1,0.06814,0.015331964,0.52,0
698,10.352,0.83,1,1.44,1,0.0419,0.007665982,0.04,0
1122,11.667,2.27,1,1.09,1,0.061,0.013689254,0.25,0
943,11.439,0.68,1,1.98,1,0.03397,0.006023272,0.16,0
1292,11.032,0.92,1,1.85,1,0.04995,0.009582478,0,0
813,10.403,3.33,1,1.197,1,0.06774,0.015058179,0.43,0
1654,12.389,1.056,1,1.332,1,0.04978,0.009856262,0.02,0
960,12.146,1.8482,1,1.277,1,0.0241,0.003559206,0.06,0
1274,13.427,1.169,1,1.178,1,0.0379,0.007665982,0.06,0
832,12.525,0.267,1,0.825,1,0.0523,0.012594113,0.07,0
2274,12.282,0.599,1,1.571,1,0.0509,0.009582478,0,0
439,11.856,0.65,1,0.94,1,0.03866,0.007939767,0,0
1515,11.34,0.48,1,1.52,1,0.0608,0.012320329,0,0
1136,11.365,1.19,1,2.05,1,0.04258,0.007392197,0,0
1322,12.125,1.044,1,1.28,1,0.0575,0.012594113,0,0
1725,13.279,0.662,1,1.216,1,0.0444,0.009034907,0.21,0
1135,13.225,0.352,1,1.242,1,0.0507,0.011772759,0.04,0
1135,13.225,4,1,1.16,1,1.752,2.4,0.49,0
974,12.783,0.892,1,1.426,1,0.0452,0.008487337,0.05,0
948,11.997,0.493,1,1.284,1,0.0577,0.012320329,0.12,0
1143,10.205,2.2,1,1.59,1,0.04378,0.007392197,0,0
1045,11.118,0.671,1,1.274,1,0.04438,0.008487337,0,0
1681,11.703,1.35,1,1.288,1,0.0453,0.008487337,0.115,0
1436,13.51,0.309,1,1.293,1,0.05069,0.011498973,0.123,0
1178,14.107,0.818,1,1.009,1,0.03694,0.007665982,0.047,0
2175,13.78,1.484,1,1.318,1,0.03159,0.005475702,0.134,0
469,13.398,0.76,1,0.944,1,0.04117,0.010403832,0.074,0
1668,13.197,0.582,1,1.182,1,0.04604,0.009856262,0.139,0
1046,10.92,2.31,1,1.51,1,0.0423,0.007665982,0.29,0
913,10.639,1.41,1,1.74,1,0.0406,0.006844627,0,0
1682,12.925,0.372,1,1.332,1,0.04994,0.010951404,0.073,0
866,11.64,1.54,1,1.123,1,0.05064,0.011225188,0.03,0
989,11.954,0.98,1,1.21,1,0.04073,0.007665982,0,0
761,9.727,0.574,1,1.631,1,0.06277,0.013141684,0.25,0
1105,13.096,1.057,1,0.899,1,0.0301,0.005201916,0.113,0
1138,12.539,0.761,1,1.073,1,0.03772,0.007118412,0.101,0
14624,20.1544,0.614,1,1.119,1,0.04294,0.009308693,0.069,0
2126,12.855,0.58,1,1.703,1,0.05387,0.010951404,0.101,0
2409,13.121,0.527,1,1.89,1,0.03951,0.007118412,0.304,0
3051,13.014,0.783,1,1.59,1,0.04363,0.008213553,0.09,0
1212,10.106,0.34,1,2.085,1,0.06505,0.013141684,0,0
659,13.802,0.724,1,1.072,1,0.02996,0.006297057,0.041,0
1113,9.774,3.58,1,1.676,1,0.06555,0.013141684,0,0
898,10.469,1.32,1,1.48,1,0.05239,0.010677618,0,0
1079,9.47,6.78,1,1.87,1,0.04739,0.007392197,0,0
1113,10.481,1.84,1,1.51,1,0.03676,0.006023272,0,0
690,10.358,1.28,1,1.4,1,0.04496,0.008487337,0,0
1485,12.344,0.749,1,1.393,1,0.05287,0.010677618,0.08,0
1745,13.202,0.526,1,0.969,1,0.04491,0.009034907,0.501,0
3081,14.06,0.83,1,1.609,1,0.0507,0.009856262,0.34,0
2434,12.831,2.39,1,0.692,1,0.0441,0.008487337,0.085,0
1376,13.911,0.543,1,1.212,1,0.04057,0.008213553,0.181,0
1673,14.052,1.071,1,1.039,1,0.03815,0.007665982,0.142,0
3717,14.909,2.17,1,1.105,1,0.02712,0.004654347,0.126,0
2469,13.957,3.27,1,1.3,1,0.03744,0.007392197,0,0
1306,12.402,1.338,1,0.777,1,0.1308,0.044626966,0.03,0
2037,14.188,1.9795,1,1.329,1,0.0174,0.002190281,0.17,0
926,12.155,1.855,1,1.302,1,0.0444,0.009308693,0.12,0
749,13.397,2.74,1,0.953,1,0.05025,0.012867898,0.08,0
2084,13.84,1.47,1,1.86,1,0.03397,0.006023272,0.114,0
1612,12.915,2.26,1,1.395,1,0.0238,0.003559206,0,0
1537,13.172,0.613,1,1.26,1,0.05163,0.011772759,0.176,0
2811,13.006,0.65,1,1.75,1,0.04735,0.009034907,0.245,0
2665,12.782,0.53,1,1.5,1,0.0611,0.012594113,0.581,0
1746,13.981,0.672,1,1.194,1,0.04131,0.008761123,0.202,0
1154,12.62,0.653,1,1.251,1,0.05475,0.012594113,0.158,0
1115,13.565,1.345,1,1.168,1,0.023,0.003832991,0,0
1116,12.283,0.706,1,1.175,1,0.04354,0.008761123,0.096,0
2525,13.315,0.88,1,1.64,1,0.0478,0.009308693,0.233,0
2431,14.386,0.92,1,1.249,1,0.04024,0.007665982,0.471,0
810,11.91,1.192,1,1.23,1,0.03727,0.006844627,0.08,0
1660,13.857,0.941,1,1.43,1,0.03166,0.005749486,0.108,0
1678,12.609,1.222,1,1.464,1,0.03199,0.004928131,0.306,0
2794,14.364,3.216,1,1.153,1,0.0523,0.011498973,0.11,0
2866,12.745,0.63,1,1.57,1,0.06007,0.012594113,0.275,0
1341,12.433,1.071,1,1.381,1,0.0485,0.009582478,0,0
4379,13.478,1.59,1,1.58,1,0.04997,0.009034907,0.312,0
2406,12.678,9.7,1,1.33,1,0.0583,0.011498973,0.38,0
2611,13.682,1.88,1,1.4,1,0.03689,0.006297057,0.229,0
1182,13.562,0.261,1,1.18,1,0.04944,0.012046544,0.17,0
1455,14.397,0.56,1,1.067,1,0.03649,0.007392197,0.279,0
2519,13.325,0.7,1,1.286,1,0.05511,0.011498973,0.24,0
1480,13.783,0.173,1,0.903,1,0.05367,0.012867898,0.559,0
981,14.602,0.369,1,1.117,1,0.04269,0.010677618,0.088,0
860,14.226,0.243,1,0.8,1,0.03769,0.008487337,0.162,0
1058,14.988,0.353,1,0.765,1,0.04515,0.011225188,0.071,0
1358,13.516,1.323,1,1.02,1,0.0362,0.006844627,0.01,0
2468,14.045,0.39,1,1.13,1,0.05046,0.010403832,0.516,0
1271,12.525,0.768,1,1.41,1,0.04639,0.009034907,0.33,0
1811,13.844,2.24,1,1.382,1,0.02498,0.003832991,0.246,0
1911,13.944,0.595,1,1.34,1,0.04753,0.010677618,0.33,0
2442,13.937,0.753,1,1.015,1,0.037,0.006844627,0,0
1989,13.525,0.921,1,1.251,1,0.05412,0.011498973,0.092,0
