distance,stellar_magnitude,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,planet_type,,,
659,12.826,0.292,Jupiter,1.132,Jupiter,0.0466,0.010951404,0.07,0,,,
519,9.827,0.525,Jupiter,1.319,Jupiter,0.05561,0.012320329,0,0,,,
232,11.231,7.246,Jupiter,0.867,Jupiter,0.0361,0.007939767,0.02,0,,,
904,11.459,4.87,Jupiter,1.11,Jupiter,0.0494,0.011225188,0.23,0,,,
267,9.763,2.47,Jupiter,1.15,Jupiter,0.0414,0.008761123,0.02,0,,,
1190,11.937,1.34,Jupiter,1.09,Jupiter,0.0232,0.003285421,0.11,0,,,
1355,11.762,0.75,Jupiter,1.3,Jupiter,0.04651,0.009308693,0.07,0,,,
980,13.146,0.569,Jupiter,1.135,Jupiter,0.0466,0.010130048,0.02,0,,,
650,12.052,0.62,Jupiter,1.02,Jupiter,0.04,0.008213553,0,0,,,
1309,13.098,0.626,Jupiter,1.212,Jupiter,0.0434,0.009034907,0.05,0,,,
1023,11.825,0.88,Jupiter,1.17,Jupiter,0.0667,0.015605749,0.09,0,,,
417,8.72,8.7,Jupiter,0.951,Jupiter,0.06814,0.015331964,0.52,0,,,
698,10.352,0.83,Jupiter,1.44,Jupiter,0.0419,0.007665982,0.04,0,,,
1122,11.667,2.27,Jupiter,1.09,Jupiter,0.061,0.013689254,0.25,0,,,
943,11.439,0.68,Jupiter,1.98,Jupiter,0.03397,0.006023272,0.16,0,,,
1292,11.032,0.92,Jupiter,1.85,Jupiter,0.04995,0.009582478,0,0,,,
813,10.403,3.33,Jupiter,1.197,Jupiter,0.06774,0.015058179,0.43,0,,,
1654,12.389,1.056,Jupiter,1.332,Jupiter,0.04978,0.009856262,0.02,0,,,
960,12.146,1.8482,Jupiter,1.277,Jupiter,0.0241,0.003559206,0.06,0,,,
1274,13.427,1.169,Jupiter,1.178,Jupiter,0.0379,0.007665982,0.06,0,,,
832,12.525,0.267,Jupiter,0.825,Jupiter,0.0523,0.012594113,0.07,0,,,
2274,12.282,0.599,Jupiter,1.571,Jupiter,0.0509,0.009582478,0,0,,,
439,11.856,0.65,Jupiter,0.94,Jupiter,0.03866,0.007939767,0,0,,,
1515,11.34,0.48,Jupiter,1.52,Jupiter,0.0608,0.012320329,0,0,,,
1136,11.365,1.19,Jupiter,2.05,Jupiter,0.04258,0.007392197,0,0,,,
1322,12.125,1.044,Jupiter,1.28,Jupiter,0.0575,0.012594113,0,0,,,
1725,13.279,0.662,Jupiter,1.216,Jupiter,0.0444,0.009034907,0.21,0,,,
1135,13.225,0.352,Jupiter,1.242,Jupiter,0.0507,0.011772759,0.04,0,,,
1135,13.225,4,Jupiter,1.16,Jupiter,1.752,2.4,0.49,0,,,
974,12.783,0.892,Jupiter,1.426,Jupiter,0.0452,0.008487337,0.05,0,,,
948,11.997,0.493,Jupiter,1.284,Jupiter,0.0577,0.012320329,0.12,0,,,
1143,10.205,2.2,Jupiter,1.59,Jupiter,0.04378,0.007392197,0,0,,,
1045,11.118,0.671,Jupiter,1.274,Jupiter,0.04438,0.008487337,0,0,,,
1681,11.703,1.35,Jupiter,1.288,Jupiter,0.0453,0.008487337,0.115,0,,,
1436,13.51,0.309,Jupiter,1.293,Jupiter,0.05069,0.011498973,0.123,0,,,
1178,14.107,0.818,Jupiter,1.009,Jupiter,0.03694,0.007665982,0.047,0,,,
2175,13.78,1.484,Jupiter,1.318,Jupiter,0.03159,0.005475702,0.134,0,,,
469,13.398,0.76,Jupiter,0.944,Jupiter,0.04117,0.010403832,0.074,0,,,
1668,13.197,0.582,Jupiter,1.182,Jupiter,0.04604,0.009856262,0.139,0,,,
1046,10.92,2.31,Jupiter,1.51,Jupiter,0.0423,0.007665982,0.29,0,,,
913,10.639,1.41,Jupiter,1.74,Jupiter,0.0406,0.006844627,0,0,,,
1682,12.925,0.372,Jupiter,1.332,Jupiter,0.04994,0.010951404,0.073,0,,,
866,11.64,1.54,Jupiter,1.123,Jupiter,0.05064,0.011225188,0.03,0,,,
989,11.954,0.98,Jupiter,1.21,Jupiter,0.04073,0.007665982,0,0,,,
761,9.727,0.574,Jupiter,1.631,Jupiter,0.06277,0.013141684,0.25,0,,,
1105,13.096,1.057,Jupiter,0.899,Jupiter,0.0301,0.005201916,0.113,0,,,
1138,12.539,0.761,Jupiter,1.073,Jupiter,0.03772,0.007118412,0.101,0,,,
14624,20.1544,0.614,Jupiter,1.119,Jupiter,0.04294,0.009308693,0.069,0,,,
2126,12.855,0.58,Jupiter,1.703,Jupiter,0.05387,0.010951404,0.101,0,,,
2409,13.121,0.527,Jupiter,1.89,Jupiter,0.03951,0.007118412,0.304,0,,,
3051,13.014,0.783,Jupiter,1.59,Jupiter,0.04363,0.008213553,0.09,0,,,
1212,10.106,0.34,Jupiter,2.085,Jupiter,0.06505,0.013141684,0,0,,,
659,13.802,0.724,Jupiter,1.072,Jupiter,0.02996,0.006297057,0.041,0,,,
1113,9.774,3.58,Jupiter,1.676,Jupiter,0.06555,0.013141684,0,0,,,
898,10.469,1.32,Jupiter,1.48,Jupiter,0.05239,0.010677618,0,0,,,
1079,9.47,6.78,Jupiter,1.87,Jupiter,0.04739,0.007392197,0,0,,,
1113,10.481,1.84,Jupiter,1.51,Jupiter,0.03676,0.006023272,0,0,,,
690,10.358,1.28,Jupiter,1.4,Jupiter,0.04496,0.008487337,0,0,,,
1485,12.344,0.749,Jupiter,1.393,Jupiter,0.05287,0.010677618,0.08,0,,,
1745,13.202,0.526,Jupiter,0.969,Jupiter,0.04491,0.009034907,0.501,0,,,
3081,14.06,0.83,Jupiter,1.609,Jupiter,0.0507,0.009856262,0.34,0,,,
2434,12.831,2.39,Jupiter,0.692,Jupiter,0.0441,0.008487337,0.085,0,,,
1376,13.911,0.543,Jupiter,1.212,Jupiter,0.04057,0.008213553,0.181,0,,,
1673,14.052,1.071,Jupiter,1.039,Jupiter,0.03815,0.007665982,0.142,0,,,
3717,14.909,2.17,Jupiter,1.105,Jupiter,0.02712,0.004654347,0.126,0,,,
2469,13.957,3.27,Jupiter,1.3,Jupiter,0.03744,0.007392197,0,0,,,
1306,12.402,1.338,Jupiter,0.777,Jupiter,0.1308,0.044626966,0.03,0,,,
2037,14.188,1.9795,Jupiter,1.329,Jupiter,0.0174,0.002190281,0.17,0,,,
926,12.155,1.855,Jupiter,1.302,Jupiter,0.0444,0.009308693,0.12,0,,,
749,13.397,2.74,Jupiter,0.953,Jupiter,0.05025,0.012867898,0.08,0,,,
2084,13.84,1.47,Jupiter,1.86,Jupiter,0.03397,0.006023272,0.114,0,,,
1612,12.915,2.26,Jupiter,1.395,Jupiter,0.0238,0.003559206,0,0,,,
1537,13.172,0.613,Jupiter,1.26,Jupiter,0.05163,0.011772759,0.176,0,,,
2811,13.006,0.65,Jupiter,1.75,Jupiter,0.04735,0.009034907,0.245,0,,,
2665,12.782,0.53,Jupiter,1.5,Jupiter,0.0611,0.012594113,0.581,0,,,
1746,13.981,0.672,Jupiter,1.194,Jupiter,0.04131,0.008761123,0.202,0,,,
1154,12.62,0.653,Jupiter,1.251,Jupiter,0.05475,0.012594113,0.158,0,,,
1115,13.565,1.345,Jupiter,1.168,Jupiter,0.023,0.003832991,0,0,,,
1116,12.283,0.706,Jupiter,1.175,Jupiter,0.04354,0.008761123,0.096,0,,,
2525,13.315,0.88,Jupiter,1.64,Jupiter,0.0478,0.009308693,0.233,0,,,
2431,14.386,0.92,Jupiter,1.249,Jupiter,0.04024,0.007665982,0.471,0,,,
810,11.91,1.192,Jupiter,1.23,Jupiter,0.03727,0.006844627,0.08,0,,,
1660,13.857,0.941,Jupiter,1.43,Jupiter,0.03166,0.005749486,0.108,0,,,
1678,12.609,1.222,Jupiter,1.464,Jupiter,0.03199,0.004928131,0.306,0,,,
2794,14.364,3.216,Jupiter,1.153,Jupiter,0.0523,0.011498973,0.11,0,,,
2866,12.745,0.63,Jupiter,1.57,Jupiter,0.06007,0.012594113,0.275,0,,,
1341,12.433,1.071,Jupiter,1.381,Jupiter,0.0485,0.009582478,0,0,,,
4379,13.478,1.59,Jupiter,1.58,Jupiter,0.04997,0.009034907,0.312,0,,,
2406,12.678,9.7,Jupiter,1.33,Jupiter,0.0583,0.011498973,0.38,0,,,
2611,13.682,1.88,Jupiter,1.4,Jupiter,0.03689,0.006297057,0.229,0,,,
1182,13.562,0.261,Jupiter,1.18,Jupiter,0.04944,0.012046544,0.17,0,,,
1455,14.397,0.56,Jupiter,1.067,Jupiter,0.03649,0.007392197,0.279,0,,,
2519,13.325,0.7,Jupiter,1.286,Jupiter,0.05511,0.011498973,0.24,0,,,
